# # Data threated with pyDSC, version xxxx, 
# #More information here? 
# #Temp/ [degC] 	 CP-baseline / [J/K/g] 	 CP [J/K/g] 	 baseline [J/K/g] 	 H [J/g]
5.512271199999999993e+01	7.794580559739294756e-02	-7.393668635386809740e+00	-7.471614440984202687e+00	0.000000000000000000e+00
5.537271199999999993e+01	2.529016935356853679e-02	-7.450496446061106504e+00	-7.475786615414675040e+00	1.290449686887018554e-02
5.562271199999999993e+01	3.172151692441094184e-02	-7.448921736480331290e+00	-7.480643253404742232e+00	2.003095765361762037e-02
5.587271199999999993e+01	-1.986432580503354473e-01	-7.687329660311402968e+00	-7.488686402261067521e+00	-8.342599871229428032e-04
5.612271199999999993e+01	-5.522839165065196454e-02	-7.553141020247442938e+00	-7.497912628596790974e+00	-3.256821619974636928e-02
5.637271199999999993e+01	-3.690622662712250701e-02	-7.541731731730362043e+00	-7.504825505103239536e+00	-4.408504348446817822e-02
5.662271199999999993e+01	-7.762187918326102221e-02	-7.589648282950488323e+00	-7.512026403767227301e+00	-5.840105671076611937e-02
5.687271199999999993e+01	2.050385004061716643e-02	-7.497909997444570429e+00	-7.518413847485187596e+00	-6.554081035359660135e-02
5.712271199999999993e+01	-1.955077473190058868e-02	-7.543549699662270847e+00	-7.523998924930370258e+00	-6.542167594000702913e-02
5.737271199999999993e+01	-6.957230096634514638e-02	-7.600369958247970459e+00	-7.530797657281625312e+00	-7.656206040228774601e-02
5.762271199999999993e+01	4.516073909405715625e-02	-7.491550679010716252e+00	-7.536711418104773408e+00	-7.961350563632374477e-02
5.787271199999999993e+01	2.333497086000058118e-02	-7.518054600774769725e+00	-7.541389571634770306e+00	-7.105154189206652759e-02
5.812271199999999993e+01	4.527520874720991628e-02	-7.500806978438182782e+00	-7.546082187185392698e+00	-6.247526944116521541e-02
5.837271199999999993e+01	-1.073386013842547726e-02	-7.561967720634159562e+00	-7.551233860495734085e+00	-5.815760086506716053e-02
5.862271199999999993e+01	3.870331640511093241e-02	-7.517774969807513585e+00	-7.556478286212624518e+00	-5.466141883173147864e-02
5.887271199999999993e+01	4.682165994707521151e-02	-7.514172472245157941e+00	-7.560994132192233153e+00	-4.397079678770821065e-02
5.912271199999999993e+01	1.469666067217199057e-01	-7.417193183142062551e+00	-7.564159789863782457e+00	-1.974726345410882100e-02
5.937271199999999993e+01	-9.511558544825238215e-02	-7.664265938664471811e+00	-7.569150353216219429e+00	-1.326588579492538056e-02
5.962271199999999993e+01	-9.543829792158398106e-03	-7.585641064708473991e+00	-7.576097234916315593e+00	-2.634831269997672809e-02
5.987271199999999993e+01	6.497362846184628893e-03	-7.575271926829570290e+00	-7.581769289675754919e+00	-2.672912106822344924e-02
6.012271199999999993e+01	-5.124311073004950146e-02	-7.639192031151774032e+00	-7.587948920421724530e+00	-3.232233955370655831e-02
6.037271199999999993e+01	7.388129570606238872e-02	-7.519423314656510371e+00	-7.593304610362572760e+00	-2.949256643170494741e-02
6.062271199999999993e+01	-2.266937260332912984e-02	-7.620993314151133902e+00	-7.598323941547804772e+00	-2.309107604386329005e-02
6.087271199999999993e+01	6.473544663796371168e-02	-7.538728046197004318e+00	-7.603463492834968029e+00	-1.783281678953396732e-02
6.112271199999999993e+01	-1.237698831648081921e-01	-7.733567952027023296e+00	-7.609798068862215104e+00	-2.521212135538952737e-02
6.137271199999999993e+01	2.294414430070998989e-01	-7.384765756867111897e+00	-7.614207199874211796e+00	-1.200317637510306401e-02
6.162271199999999993e+01	1.739889262351708155e-01	-7.441230747417082014e+00	-7.615219673652252830e+00	3.842561978018077529e-02
6.187271199999999993e+01	8.575058054631767845e-04	-7.618068487893927987e+00	-7.618925993699391164e+00	6.028142378526002432e-02
6.212271199999999993e+01	1.066987703185482417e-01	-7.516731783427943014e+00	-7.623430553746491256e+00	7.372595830076145162e-02
6.237271199999999993e+01	5.145395201986779909e-02	-7.575942558560100792e+00	-7.627396510579968592e+00	9.349504859306345672e-02
6.262271199999999993e+01	7.759150773409828616e-03	-7.624730886248374695e+00	-7.632490037021784524e+00	1.008966864422231602e-01
6.287271199999999993e+01	7.376656415095173003e-02	-7.563587426004938941e+00	-7.637353990155890671e+00	1.110874008077683550e-01
6.312271199999999993e+01	2.435825945210456922e-02	-7.617699564997002959e+00	-7.642057824449107528e+00	1.233530037581503924e-01
6.337271199999999993e+01	-1.370934333770277291e-01	-7.786128763997859359e+00	-7.649035330620831630e+00	1.092611070175349974e-01
6.362271199999999993e+01	-1.227144331879861383e-01	-7.780253767943144716e+00	-7.657539334755158578e+00	7.678512369690826400e-02
6.387271199999999993e+01	8.186716694911666536e-03	-7.656279152357408080e+00	-7.664465869052319746e+00	6.246915913527395503e-02
6.412271200000000704e+01	-1.151132385055415597e-01	-7.786400468541170738e+00	-7.671287230035629179e+00	4.910334390894483675e-02
6.437271200000000704e+01	1.885193114976235762e-02	-7.659122865620628495e+00	-7.677974796770390853e+00	3.707068048947243649e-02
6.462271200000000704e+01	-6.260476874308196216e-03	-7.689801892840113062e+00	-7.683541415965804866e+00	3.864461227390420667e-02
6.487271200000000704e+01	-1.814735159058260550e-01	-7.872582770718963729e+00	-7.691109254813137674e+00	1.517786317638742527e-02
6.512271200000000704e+01	-1.090218716209863103e-01	-7.808668300447113353e+00	-7.699646428826127043e+00	-2.113406026446412039e-02
6.537271200000000704e+01	-1.527495542637229420e-01	-7.860585619932459522e+00	-7.707836065668736580e+00	-5.385548850005277693e-02
6.562271200000000704e+01	-9.454450329734509495e-02	-7.810369842437843602e+00	-7.715825339140498507e+00	-8.476724569518628849e-02
6.587271200000000704e+01	-1.112922678236412111e-01	-7.834655024675593715e+00	-7.723362756851952504e+00	-1.104968420853095767e-01
6.612271200000000704e+01	-1.303371352257025606e-01	-7.861525519435711651e+00	-7.731188384210009090e+00	-1.407005174664775482e-01
6.637271200000000704e+01	-8.698429411924291088e-02	-7.825716509387921072e+00	-7.738732215268678161e+00	-1.678656961345957321e-01
6.662271200000000704e+01	-1.799503448200630018e-01	-7.926630171089407817e+00	-7.746679826269344815e+00	-2.012325260020089712e-01
