# # Data threated with pyDSC, version xxxx, 
# #More information here? 
# #Temp/ [degC] 	 CP-baseline / [J/K/g] 	 CP [J/K/g] 	 baseline [J/K/g] 	 H [J/g]
9.387271200000000704e+01	-3.386452096997061290e-03	2.772081383085156148e+01	2.772420028294855854e+01	0.000000000000000000e+00
9.362271200000000704e+01	-3.110766660030961361e-02	2.771070727175380455e+01	2.774181493835411416e+01	4.311764837163334363e-03
9.337271200000000704e+01	-9.072326582362677527e-03	2.775034907316227617e+01	2.775942139974463885e+01	9.334263984997370756e-03
9.312271200000000704e+01	-2.965574929067571475e-03	2.777404407050614310e+01	2.777700964543521067e+01	1.083900167392615188e-02
9.287271200000000704e+01	-3.630569332102595581e-03	2.779090689219553312e+01	2.779453746152763571e+01	1.166351970657242276e-02
9.262271200000000704e+01	3.721467115612497878e-02	2.784926379402638119e+01	2.781204912287025621e+01	7.465506978569624863e-03
9.237271200000000704e+01	3.804848580622532950e-02	2.786758920739291412e+01	2.782954072158668879e+01	-1.942387641724163672e-03
9.212271200000000704e+01	3.245653580411911321e-02	2.787945694954826692e+01	2.784700041374414781e+01	-1.075551534301721901e-02
9.187271200000000704e+01	-1.166401104320868853e-02	2.785276591665815715e+01	2.786442992770136584e+01	-1.335458093813102209e-02
9.162271200000000704e+01	2.675801563557200780e-02	2.790862780915741226e+01	2.788186979352184025e+01	-1.524133151217643700e-02
9.137271200000000704e+01	1.796522032618952380e-02	2.791725153309459984e+01	2.789928631276841031e+01	-2.083173600739662845e-02
9.112271200000000704e+01	-3.298761237223146736e-02	2.788372832455002737e+01	2.791671593692225883e+01	-1.895393700164138551e-02
9.087271200000000704e+01	-1.930071445432446353e-03	2.793224689343844247e+01	2.793417696488387492e+01	-1.458922652443339629e-02
9.062271200000000704e+01	-4.657416515006573832e-02	2.790503965172109702e+01	2.795161381687116275e+01	-8.526196949996123209e-03
9.037271200000000704e+01	6.469390551038500803e-02	2.803373253669697007e+01	2.796903863118658506e+01	-1.079116449503603192e-02
9.012271200000000704e+01	1.350558675888535731e-02	2.799993604112620815e+01	2.798643045436732280e+01	-2.056610102869482759e-02
8.987271200000000704e+01	-1.314427428771125506e-02	2.799073031704066850e+01	2.800387459132837975e+01	-2.061126508759159037e-02
8.962271200000000704e+01	2.064433798018683319e-02	2.804200199967430507e+01	2.802135766169411824e+01	-2.154877304915103764e-02
8.937271200000000704e+01	3.098929635343949940e-02	2.806982160676512095e+01	2.803883231041168145e+01	-2.800297734085432921e-02
8.912271200000000704e+01	2.831336655567184835e-02	2.808461959314560019e+01	2.805630622658992834e+01	-3.541581020449324768e-02
8.887271200000000704e+01	2.305214065688687697e-02	2.809683147451910301e+01	2.807377933386221613e+01	-4.183649860606308835e-02
8.862271200000000704e+01	-1.743939752356737927e-02	2.807380957299898228e+01	2.809124897052254966e+01	-4.253809149772802556e-02
8.837271200000000704e+01	-2.699190946980678518e-03	2.810602201599207817e+01	2.810872120693905885e+01	-4.002076793890951834e-02
8.812271200000000704e+01	-7.487620999484079221e-02	2.805132918466036074e+01	2.812620539465520153e+01	-3.032384282118183449e-02
8.787271200000000704e+01	-3.032320416812339658e-02	2.811337546134462073e+01	2.814369866551274413e+01	-1.717391605081131090e-02
8.762271200000000704e+01	-1.137927188646159493e-02	2.814983397498519935e+01	2.816121324687166094e+01	-1.196110654398818696e-02
8.737271200000000704e+01	-8.277244015344820127e-02	2.809596606560286958e+01	2.817873850575631778e+01	-1.921425389994624311e-04
8.712271200000000704e+01	-7.555980402847239930e-02	2.812070866321374751e+01	2.819626846724221991e+01	1.959938798374061264e-02
8.687271200000000704e+01	-7.539824072055978377e-02	2.813841665033595874e+01	2.821381489105651852e+01	3.846914357736963552e-02
8.662271200000000704e+01	-5.360815317942169145e-02	2.817773961688055095e+01	2.823134777005997265e+01	5.459494281486731992e-02
8.637271200000000704e+01	-2.382454925257349032e-03	2.824648142570619314e+01	2.824886388063145048e+01	6.159376882795219998e-02
8.612271200000000704e+01	2.038646227626017549e-02	2.828675583597155807e+01	2.826636937369529790e+01	5.934326790907684668e-02
8.587271200000000704e+01	4.109147695640302800e-03	2.828798056671850247e+01	2.828387141902286217e+01	5.628131666258928689e-02
8.562271200000000704e+01	2.597031020269469082e-02	2.832734908110079175e+01	2.830137877089809706e+01	5.252138442529741269e-02
8.537271200000000704e+01	6.151895653977135225e-02	2.838043255550056543e+01	2.831891359896079408e+01	4.158522608248915731e-02
8.512271200000000704e+01	1.295843949050841104e-01	2.846605742949902051e+01	2.833647303459393640e+01	1.769730715188222447e-02
8.487271200000000704e+01	1.517664741764548353e-01	2.850571947439091147e+01	2.835395300021445664e+01	-1.747155148331014374e-02
8.462271200000000704e+01	2.221905933540533340e-01	2.859348003589024856e+01	2.837128944253619522e+01	-6.421618492462366490e-02
8.437271200000000704e+01	2.327461284402261299e-01	2.862133000820619344e+01	2.838858387976596731e+01	-1.210832751489085979e-01
8.412271200000000704e+01	3.086706594791372993e-01	2.871453100587481444e+01	2.840586034639567714e+01	-1.887603736388290265e-01
8.387271200000000704e+01	3.534470839726182589e-01	2.877646088252941325e+01	2.842301379855679500e+01	-2.715250915702984713e-01
8.362271200000000704e+01	3.419554174139847191e-01	2.878205820569521833e+01	2.844010278828123361e+01	-3.584504042436238436e-01
8.337271200000000704e+01	4.281009276695861843e-01	2.888527972765706409e+01	2.845717879998747790e+01	-4.547074473790702065e-01
8.312271200000000704e+01	5.754911971194580644e-01	2.904967199564523739e+01	2.847418079852577932e+01	-5.801564629777007376e-01
8.287271200000000704e+01	7.971233544850129249e-01	2.928827687385346223e+01	2.849115351936844931e+01	-7.517332819282596112e-01
8.262271200000000704e+01	1.004261047207545943e+00	2.951241272228680046e+01	2.850815167507925452e+01	-9.769063321398294697e-01
8.237271200000000704e+01	1.273189457112604117e+00	2.979830131689479344e+01	2.852511185978218933e+01	-1.261587645179848227e+00
8.212271200000000704e+01	1.428762948683193201e+00	2.997088207392660308e+01	2.854211912524340988e+01	-1.599331695904322892e+00
8.187271200000000704e+01	1.603157211302583818e+00	3.016243097492356284e+01	2.855927376362097903e+01	-1.978321715902545019e+00
8.162271200000000704e+01	1.840716032583841866e+00	3.041708893548436166e+01	2.857637290290051979e+01	-2.408805871388348230e+00
8.137271200000000704e+01	2.041040542665921720e+00	3.063445839958433936e+01	2.859341785691841764e+01	-2.894025443294568678e+00
8.112271200000000704e+01	2.283583786341296218e+00	3.089419747448372533e+01	2.861061368814242911e+01	-3.434603484420470920e+00
8.087271200000000704e+01	2.415859213454005783e+00	3.104375126912456295e+01	2.862789205567055717e+01	-4.022033859394883670e+00
8.062271200000000704e+01	2.634649436267597622e+00	3.127992692932232188e+01	2.864527749305472426e+01	-4.653347440610083652e+00
