scan 16/2/202112:22:58 PM						
temp(°C)	power	time(seconds)	pressure(A)	scan rate(°C/min)	AnalysisData	CorrectedData
10.00034298	-7.304469703	1228485.8	0.010378361	0.000988761	-7.304469703	-7.304469703
10.00033816	-7.399797297	1228486.8	0.010380447	0.000988761	-7.399797297	-7.399797297
10.00034205	-8.23391285	1228487.8	0.010381043	0.000988761	-8.23391285	-8.23391285
10.00037901	-10.97457742	1228488.8	0.010378957	0.000988761	-10.97457742	-10.97457742
10.00047282	-16.32482883	1228489.8	0.010378361	0.004158193	-16.32482883	-16.32482883
10.00064251	-24.29657744	1228490.8	0.010378957	0.00831927	-24.29657744	-24.29657744
10.00090329	-34.55616782	1228491.8	0.010379851	0.01357248	-34.55616782	-34.55616782
10.00126823	-47.07975441	1228492.8	0.010378659	0.020028563	-47.07975441	-47.07975441
10.00174886	-61.5336735	1228493.8	0.010378957	0.027701932	-61.5336735	-61.5336735
10.00235691	-77.67958463	1228494.8	0.010378659	0.036485495	-77.67958463	-77.67958463
10.00310529	-95.33872241	1228495.8	0.010378957	0.046265356	-95.33872241	-95.33872241
10.00400441	-114.4991393	1228496.8	0.010378361	0.055306971	-114.4991393	-114.4991393
10.00506612	-135.1250504	1228497.8	0.010378659	0.065033955	-135.1250504	-135.1250504
10.00630091	-156.9066028	1228498.8	0.010378659	0.075422308	-156.9066028	-156.9066028
10.00772071	-179.9629071	1228499.8	0.010379553	0.086467868	-179.9629071	-179.9629071
10.00933616	-204.1866684	1228500.8	0.010378659	0.098154485	-204.1866684	-204.1866684
10.01115618	-229.4467577	1228501.8	0.010379553	0.110471581	-229.4467577	-229.4467577
10.01319321	-255.6358708	1228502.8	0.010379255	0.123408096	-255.6358708	-255.6358708
10.01545577	-282.7539418	1228503.8	0.010378957	0.136944404	-282.7539418	-282.7539418
10.01795448	-310.6459968	1228504.8	0.010379255	0.151077042	-310.6459968	-310.6459968
10.02069852	-339.168977	1228505.8	0.010378361	0.165796875	-339.168977	-339.168977
10.02369756	-368.4419559	1228506.8	0.010379255	0.181076196	-368.4419559	-368.4419559
10.02696181	-398.1550536	1228507.8	0.010380149	0.196904513	-398.1550536	-398.1550536
10.03049915	-428.4511675	1228508.8	0.010379553	0.213266889	-428.4511675	-428.4511675
10.03431877	-458.8774398	1228509.8	0.010378957	0.23015068	-458.8774398	-458.8774398
10.03842796	-489.6005958	1228510.8	0.010379255	0.247538272	-489.6005958	-489.6005958
10.04283561	-520.5728851	1228511.8	0.010379255	0.265409264	-520.5728851	-520.5728851
10.04754944	-551.6274125	1228512.8	0.010378659	0.283754541	-551.6274125	-551.6274125
10.05257702	-582.549631	1228513.8	0.010379851	0.302547451	-582.549631	-582.549631
10.05792622	-613.7445371	1228514.8	0.010378659	0.321780199	-613.7445371	-613.7445371
10.06360384	-644.6759008	1228515.8	0.010379255	0.341433978	-644.6759008	-644.6759008
10.06961597	-675.4627808	1228516.8	0.010379851	0.361487484	-675.4627808	-675.4627808
10.07596898	-706.0812637	1228517.8	0.010378659	0.381923834	-706.0812637	-706.0812637
